"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 30 05:09:10 GMT 2024","Tue Jul 30 05:09:14 GMT 2024","3991","tests","test_user_delete","TestUserDelete","","","test_positive_delete_created_user","This test verifies that a user can be deleted successfully"
"passed","Tue Jul 30 05:09:41 GMT 2024","Tue Jul 30 05:09:42 GMT 2024","1869","tests","test_user_get","TestUserGet","","","test_get_another_user_data_after_auth","This test verifies retrieval of another user's details after authenticating"
"passed","Tue Jul 30 05:09:00 GMT 2024","Tue Jul 30 05:09:00 GMT 2024","579","tests","test_user_auth","TestUserAuth","","","test_homework_header","This test checks for the presence of a specific header"
"passed","Tue Jul 30 05:09:08 GMT 2024","Tue Jul 30 05:09:10 GMT 2024","2219","tests","test_user_delete","TestUserDelete","","","test_delete_user_2","This test verifies that user with ID 2 can't be deleted"
"passed","Tue Jul 30 05:09:49 GMT 2024","Tue Jul 30 05:09:50 GMT 2024","1123","tests","test_user_register","TestUserRegister","","","test_create_user_without_field[firstName]","This test checks user registration without one of the fields"
"passed","Tue Jul 30 05:09:45 GMT 2024","Tue Jul 30 05:09:46 GMT 2024","1128","tests","test_user_register","TestUserRegister","","","test_create_user_with_invalid_email","This test checks user registration with an incorrect email w/o '@'"
"passed","Tue Jul 30 05:09:06 GMT 2024","Tue Jul 30 05:09:06 GMT 2024","580","tests","test_user_auth","TestUserAuth","","","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","Test for checking correct User Agent identification"
"passed","Tue Jul 30 05:08:53 GMT 2024","Tue Jul 30 05:08:54 GMT 2024","1251","tests","test_user_auth","TestUserAuth","","","test_auth_user","This test successfully authorize user by email and password"
"passed","Tue Jul 30 05:09:14 GMT 2024","Tue Jul 30 05:09:20 GMT 2024","5291","tests","test_user_delete","TestUserDelete","","","test_delete_user_authorized_as_another_user","This test verifies that one user cannot delete another user"
"passed","Tue Jul 30 05:09:43 GMT 2024","Tue Jul 30 05:09:45 GMT 2024","1088","tests","test_user_register","TestUserRegister","","","test_create_user_with_existing_email","This test checks the registration of a user with an already existing email"
"passed","Tue Jul 30 05:09:20 GMT 2024","Tue Jul 30 05:09:24 GMT 2024","4070","tests","test_user_edit","TestUserEdit","","","test_edit_just_created_user","This test verifies the ability to edit a user after their registration"
