"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks user registration with a very long name","927","test_create_user_with_long_name","tests","Sun Sep 28 05:12:31 UTC 2025","passed","Sun Sep 28 05:12:32 UTC 2025","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","538","test_user_agent_check[Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)-expected_values2]","tests","Sun Sep 28 05:11:50 UTC 2025","passed","Sun Sep 28 05:11:50 UTC 2025","TestUserAuth","test_user_auth","",""
"This test verifies the ability to edit a user after their registration","3532","test_edit_just_created_user","tests","Sun Sep 28 05:12:02 UTC 2025","passed","Sun Sep 28 05:12:06 UTC 2025","TestUserEdit","test_user_edit","",""
"This test checks the inability to change user email to an invalid one","2657","test_edit_user_invalid_email","tests","Sun Sep 28 05:12:13 UTC 2025","passed","Sun Sep 28 05:12:15 UTC 2025","TestUserEdit","test_user_edit","",""
"This test checks the registration of a user with an already existing email","927","test_create_user_with_existing_email","tests","Sun Sep 28 05:12:23 UTC 2025","passed","Sun Sep 28 05:12:24 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1450","test_create_user_without_field[firstName]","tests","Sun Sep 28 05:12:28 UTC 2025","passed","Sun Sep 28 05:12:29 UTC 2025","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","557","test_user_agent_check[Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30-expected_values0]","tests","Sun Sep 28 05:11:47 UTC 2025","passed","Sun Sep 28 05:11:48 UTC 2025","TestUserAuth","test_user_auth","",""
"This test verifies that user with ID 2 can't be deleted","1549","test_delete_user_2","tests","Sun Sep 28 05:11:52 UTC 2025","passed","Sun Sep 28 05:11:54 UTC 2025","TestUserDelete","test_user_delete","",""
"Final test to check if there were any identification errors for User Agents","1","test_summary","tests","Sun Sep 28 05:11:52 UTC 2025","skipped","Sun Sep 28 05:11:52 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration with a very short name","927","test_create_user_with_short_name","tests","Sun Sep 28 05:12:30 UTC 2025","passed","Sun Sep 28 05:12:31 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks for the presence of a specific cookie","408","test_cookie","tests","Sun Sep 28 05:11:46 UTC 2025","passed","Sun Sep 28 05:11:46 UTC 2025","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","529","test_user_agent_check[Mozilla/5.0 (iPad; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1-expected_values4]","tests","Sun Sep 28 05:11:52 UTC 2025","passed","Sun Sep 28 05:11:52 UTC 2025","TestUserAuth","test_user_auth","",""
"This test check authorization status w/o sending auth cookie or token","778","test_negative_auth_check[no_token]","tests","Sun Sep 28 05:11:44 UTC 2025","passed","Sun Sep 28 05:11:45 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration with an incorrect email w/o '@'","1049","test_create_user_with_invalid_email","tests","Sun Sep 28 05:12:24 UTC 2025","passed","Sun Sep 28 05:12:25 UTC 2025","TestUserRegister","test_user_register","",""
"This test verifies retrieval of another user's details after authenticating","1554","test_get_another_user_data_after_auth","tests","Sun Sep 28 05:12:21 UTC 2025","passed","Sun Sep 28 05:12:22 UTC 2025","TestUserGet","test_user_get","",""
"This test checks user registration without one of the fields","932","test_create_user_without_field[password]","tests","Sun Sep 28 05:12:26 UTC 2025","passed","Sun Sep 28 05:12:27 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks the inability to edit a user when unauthorized","2073","test_edit_user_unauthorized","tests","Sun Sep 28 05:12:06 UTC 2025","failed","Sun Sep 28 05:12:08 UTC 2025","TestUserEdit","test_user_edit","",""
"This test successfully authorize user by email and password","791","test_auth_user","tests","Sun Sep 28 05:11:42 UTC 2025","passed","Sun Sep 28 05:11:42 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","922","test_create_user_without_field[username]","tests","Sun Sep 28 05:12:25 UTC 2025","passed","Sun Sep 28 05:12:26 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks the inability to edit a user when authorized as another user","4894","test_edit_user_authorized_as_another_user","tests","Sun Sep 28 05:12:08 UTC 2025","skipped","Sun Sep 28 05:12:13 UTC 2025","TestUserEdit","test_user_edit","",""
"This test verifies that a user can be created successfully","965","test_create_user_successfully","tests","Sun Sep 28 05:12:22 UTC 2025","passed","Sun Sep 28 05:12:23 UTC 2025","TestUserRegister","test_user_register","",""
